affinity_qvina,dock_success,dock_reason
-6.7,True,
-8.1,True,
,False,MOL_NONE
-7.8,True,
-7.4,True,
-6.4,True,
,False,MOL_NONE
,False,MOL_NONE
-6.1,True,
-6.7,True,
-6.1,True,
,False,MOL_NONE
-6.8,True,
-6.2,True,
-6.2,True,
,False,MOL_NONE
,False,MOL_NONE
,False,MOL_NONE
,False,MOL_NONE
-6.0,True,
,False,MOL_NONE
-5.9,True,
,False,MOL_NONE
-5.9,True,
-7.2,True,
,False,MOL_NONE
-7.2,True,
,False,MOL_NONE
-7.4,True,
-7.0,True,
,False,MOL_NONE
,False,MOL_NONE
,False,MOL_NONE
-7.4,True,
,False,MOL_NONE
-6.7,True,
-5.9,True,
-6.3,True,
-7.6,True,
,False,MOL_NONE
-6.7,True,
,False,MOL_NONE
-6.4,True,
-6.3,True,
-7.2,True,
,False,MOL_NONE
-7.5,True,
-7.1,True,
-7.2,True,
-7.0,True,
-6.7,True,
-6.1,True,
,False,MOL_NONE
-7.0,True,
-5.7,True,
,False,MOL_NONE
-7.1,True,
-7.0,True,
,False,MOL_NONE
-7.3,True,
-6.9,True,
,False,MOL_NONE
-6.6,True,
-5.6,True,
-6.5,True,
-5.9,True,
-7.0,True,
-6.4,True,
-7.8,True,
-8.1,True,
,False,MOL_NONE
,False,MOL_NONE
-6.5,True,
-6.4,True,
-7.3,True,
-6.7,True,
-6.9,True,
-5.7,True,
-7.1,True,
-6.9,True,
,False,MOL_NONE
,False,MOL_NONE
-6.0,True,
,False,MOL_NONE
-7.5,True,
-7.3,True,
-6.6,True,
-6.4,True,
-6.7,True,
,False,MOL_NONE
-6.1,True,
,False,MOL_NONE
,False,MOL_NONE
,False,MOL_NONE
-6.5,True,
,False,MOL_NONE
-6.6,True,
,False,MOL_NONE
-6.5,True,
,False,MOL_NONE
